work_order_id,property_id,trade,urgency,status,recommended_vendor_id,recommended_vendor_name,match_score,vendor_sla_pct,vendor_quality,vendor_response_hrs
WO00740,P032,plumbing,high,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00741,P003,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00742,P032,HVAC,emergency,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00744,P032,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00745,P010,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00750,P036,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00756,P002,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00758,P032,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00759,P007,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00760,P040,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00762,P038,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00764,P005,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00765,P037,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00768,P049,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00771,P022,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00773,P002,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00775,P002,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00777,P015,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00778,P022,plumbing,emergency,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00779,P033,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00785,P021,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00788,P012,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00791,P022,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00792,P047,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00794,P002,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00796,P022,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00797,P050,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00798,P004,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00802,P012,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00803,P045,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00806,P014,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00808,P029,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00812,P012,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00813,P002,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00814,P032,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00823,P002,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00824,P007,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00828,P007,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00830,P021,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00831,P012,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00836,P026,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00841,P012,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00850,P007,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00851,P012,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00854,P012,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00855,P032,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00857,P003,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00858,P016,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00859,P031,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00861,P033,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00864,P032,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00865,P029,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00867,P043,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00868,P031,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00876,P033,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00877,P029,electrical,high,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00878,P007,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00879,P028,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00885,P035,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00888,P038,electrical,emergency,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00889,P040,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00890,P040,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00892,P007,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00893,P007,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00901,P049,plumbing,high,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00902,P013,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00905,P010,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00909,P040,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00915,P021,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00916,P031,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00917,P005,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00919,P032,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00921,P032,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00924,P007,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00927,P043,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00928,P012,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00929,P012,electrical,emergency,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00938,P014,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00939,P020,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00944,P033,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00945,P037,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00946,P022,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00952,P025,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00957,P049,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00959,P007,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00961,P031,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00962,P046,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00965,P007,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00967,P007,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00971,P029,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00972,P014,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00974,P003,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00975,P010,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00980,P009,electrical,high,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00981,P009,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00988,P001,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00990,P018,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00994,P007,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00996,P037,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00998,P021,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00999,P016,electrical,high,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01000,P003,plumbing,high,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01001,P024,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01003,P007,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01007,P023,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01009,P032,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01011,P002,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01012,P022,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01016,P028,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01019,P014,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01021,P023,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01028,P012,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01029,P002,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01031,P010,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01032,P012,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01035,P050,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01037,P031,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01039,P021,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01041,P029,electrical,high,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01050,P040,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01054,P033,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01059,P032,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01061,P029,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01062,P005,electrical,emergency,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01065,P023,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01067,P010,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01070,P009,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01073,P042,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01075,P018,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01076,P040,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01080,P040,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01084,P021,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01086,P012,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01087,P035,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01094,P007,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01096,P010,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01098,P043,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01099,P003,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01100,P016,plumbing,emergency,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01101,P032,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01103,P007,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01104,P016,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01105,P014,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01106,P005,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01118,P032,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01124,P024,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01125,P032,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01128,P016,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01132,P002,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01135,P031,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01136,P049,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01137,P010,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01139,P021,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01140,P022,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01143,P007,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01144,P034,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01145,P005,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01149,P040,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01152,P040,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01156,P002,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01158,P007,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01163,P023,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01166,P050,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01167,P014,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01168,P013,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01169,P007,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01172,P021,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01174,P028,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01175,P037,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01179,P029,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01180,P014,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01184,P038,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01186,P032,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01188,P032,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01194,P037,electrical,emergency,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01200,P005,electrical,high,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01201,P040,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01208,P003,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01209,P042,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01210,P032,electrical,high,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01211,P014,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01215,P009,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01216,P048,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01224,P029,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01225,P025,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01226,P038,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01231,P022,electrical,emergency,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01233,P012,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01235,P003,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01244,P005,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01246,P029,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01247,P027,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01252,P037,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01255,P045,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01256,P013,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01260,P014,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01263,P029,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01265,P049,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01266,P026,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01267,P036,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01273,P014,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01275,P032,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01276,P028,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01280,P012,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01281,P002,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01282,P026,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01286,P007,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01290,P016,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01292,P040,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01293,P014,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01299,P006,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01306,P014,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01316,P038,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01317,P044,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01318,P005,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01322,P007,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01323,P022,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01324,P046,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01325,P007,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01331,P031,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01335,P009,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01336,P016,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01346,P029,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01353,P031,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01354,P038,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01356,P049,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01360,P002,plumbing,high,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01362,P010,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01364,P040,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01366,P005,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01368,P025,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01374,P045,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01378,P043,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01379,P030,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01383,P044,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01384,P019,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01386,P022,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01389,P022,electrical,emergency,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01390,P016,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01393,P002,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01394,P002,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01397,P010,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01398,P021,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01404,P040,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01405,P012,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01406,P010,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01407,P007,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01413,P021,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01418,P027,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01420,P050,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO01423,P029,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01424,P010,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01434,P009,plumbing,emergency,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01436,P012,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01445,P023,plumbing,high,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01447,P021,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01448,P012,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO01450,P050,plumbing,high,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO01451,P022,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO01455,P007,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
